School,Lat,Lng
"Yeshivah College,St Kilda East,VIC,3183",-37.8679938,145.000084
"Viewbank College,Viewbank,VIC,3084",-37.740984,145.086435
"Princes Hill Secondary College,Princes Hill,VIC,3054",-37.7832162,144.9649385
"Koonung Secondary College,Box Hill North,VIC,3129",-37.802699,145.116152
"Luther College,Croydon,VIC,3136",-37.7816324,145.2714179
"Killester College,Springvale,VIC,3171",-37.9583597,145.1512383
"Lighthouse Christian College,Keysborough,VIC,3173",-38.0008978,145.1439784
"ELTHAM College of Education,Research,VIC,3095",-37.700164,145.193224
"Highvale Secondary College,Glen Waverley,VIC,3150",-37.8656038,145.1769813
"Williamstown High School,Williamstown,VIC,3016",-37.862917,144.894895
"Maranatha Christian School,Endeavour Hills,VIC,3802",-37.9719613,145.2784682
"Whitefriars College,Donvale,VIC,3111",-37.7933066,145.1983678
"Glen Eira College,Caulfield East,VIC,3145",-37.885091,145.0378881
"Cornish College,Bangholme,VIC,3175",-38.0505353,145.1485528
"Woodleigh School,Langwarrin South,VIC,3911",-38.192779,145.175103
"Alphington Grammar School,Alphington,VIC,3078",-37.7803056,145.0362033
"Kew High School,Kew East,VIC,3102",-37.7955914,145.0634141
"Salesian College,Chadstone,VIC,3148",-37.88286,145.10067
"Avila College,Mount Waverley,VIC,3149",-37.8746056,145.1337496
"Catholic Ladies College,Eltham,VIC,3095",-37.710602,145.143926
"Buckley Park College,Aberfeldie,VIC,3040",-37.7470069,144.8972549
"Frankston High School,Frankston,VIC,3199",-38.1607737,145.1292338
"Mentone Girls Secondary College,Mentone,VIC,3194",-37.9802964,145.0544043
"Our Lady of Sion College,Box Hill,VIC,3128",-37.818128,145.1300157
"Ringwood Secondary College,Ringwood,VIC,3134",-37.8168383,145.2396779
"Star of the Sea College,Brighton,VIC,3186",-37.8972457,144.9974486
"Blackburn High School,Blackburn,VIC,3130",-37.8110469,145.1502729
"Casey Grammar School,Cranbourne East,VIC,3977",-38.1104899,145.2945869
"Santa Maria College,Northcote,VIC,3070",-37.770281,145.0018395
"Plenty Valley Christian College,Doreen,VIC,3754",-37.6127198,145.1395024
"Alamanda K-9 College,Point Cook,VIC,3030",-37.908505,144.740511
"St Michael's Grammar School,St Kilda,VIC,3182",-37.8595378,144.9916182
"Virtual School Victoria,Thornbury,VIC,3071",-37.761929,145.0258748
"Marcellin College,Bulleen,VIC,3105",-37.7752302,145.0817426
"Siena College,Camberwell,VIC,3124",-37.8333286,145.0825838
"Balcombe Grammar School,Mount Martha,VIC,3934",-38.274039,145.0314255
"Overnewton Anglican Community College,Keilor,VIC,3036",-37.7042944,144.822318
"South Oakleigh Secondary College,Oakleigh South,VIC,3167",-37.9222356,145.0901914
"Camberwell High School,Canterbury,VIC,3126",-37.8301509,145.0727241
"Flinders Christian Community College,Tyabb,VIC,3913",-38.26193,145.16866
"Cheltenham Secondary College,Cheltenham,VIC,3192",-37.953568,145.0688567
"St Bede's College,Mentone,VIC,3194",-37.9922971,145.067757
"Academy of Mary Immaculate,Fitzroy,VIC,3065",-37.8036637,144.9742637
"Emmaus College,Vermont South,VIC,3133",-37.8478456,145.173753
