Suburb,Postcode,State,Address,Lat,Lng,Local government area
Avondale Heights,3034,VIC,"Avondale Heights,3034,VIC",-37.7628247,144.8648709,City of Moonee Valley
Keilor,3036,VIC,"Keilor,3036,VIC",-37.712,144.831,City of Brimbank;City of Hume
Keilor North,3036,VIC,"Keilor North,3036,VIC",-37.68,144.784,City of Brimbank
Calder Park,3037,VIC,"Calder Park,3037,VIC",-37.679,144.762,City of Brimbank
Delahey,3037,VIC,"Delahey,3037,VIC",-37.719,144.777,City of Brimbank
Hillside,3037,VIC,"Hillside,3037,VIC",-37.687,144.743,City of Brimbank;City of Melton
Sydenham,3037,VIC,"Sydenham,3037,VIC",-37.702,144.767,City of Brimbank
Taylors Hill,3037,VIC,"Taylors Hill,3037,VIC",-37.715,144.751,City of Melton
Keilor Downs,3038,VIC,"Keilor Downs,3038,VIC",-37.722,144.803,City of Brimbank
Keilor Lodge,3038,VIC,"Keilor Lodge,3038,VIC",-37.6982783,144.7988921,City of Brimbank
Taylors Lakes,3038,VIC,"Taylors Lakes,3038,VIC",-37.701,144.796,City of Brimbank
Moonee Ponds,3039,VIC,"Moonee Ponds,3039,VIC",-37.7675363,144.9198932,City of Moonee Valley
Aberfeldie,3040,VIC,"Aberfeldie,3040,VIC",-37.762,144.901,City of Moonee Valley
Essendon,3040,VIC,"Essendon,3040,VIC",-37.7504821,144.9143187,City of Moonee Valley
Essendon West,3040,VIC,"Essendon West,3040,VIC",-37.755,144.883,City of Moonee Valley
Essendon Fields,3041,VIC,"Essendon Fields,3041,VIC",-37.7263122,144.8968793,City of Moonee Valley
Essendon North,3041,VIC,"Essendon North,3041,VIC",-37.7383196,144.8992556,City of Moonee Valley
Strathmore,3041,VIC,"Strathmore,3041,VIC",-37.7358112,144.9191456,City of Moonee Valley
Strathmore Heights,3041,VIC,"Strathmore Heights,3041,VIC",-37.713,144.897,City of Moonee Valley
Airport West,3042,VIC,"Airport West,3042,VIC",-37.726234,144.8813526,City of Moonee Valley
Keilor Park,3042,VIC,"Keilor Park,3042,VIC",-37.7200817,144.8514577,City of Brimbank
